INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (1, 1, 'Kahaleel', 6713, '05 Hoard Hill');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (12, 12, 'Linus', 5079, '29255 Anderson Crossing');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (13, 13, 'Cheslie', 9916, '9790 Ruskin Drive');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (14, 14, 'Costa', 1053, '4665 Stoughton Place');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (15, 15, 'Merrielle', 2394, '8148 Menomonie Junction');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (16, 16, 'Keene', 7955, '4551 Melrose Park');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (17, 17, 'Caresse', 6766, '3792 Sauthoff Point');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (18, 18, 'Zarla', 9823, '63198 Mockingbird Pass');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (19, 19, 'Sunshine', 8777, '0 Moland Way');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (20, 20, 'Thaxter', 3015, '293 Center Road');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (21, 21, 'Thea', 4972, '7 Moland Crossing');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (22, 22, 'Spenser', 9251, '1594 Acker Pass');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (23, 23, 'Rosabel', 5877, '87 Oak Avenue');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (24, 24, 'Annice', 4594, '85800 Loeprich Park');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (25, 25, 'Lenna', 1013, '4 Doe Crossing Park');

INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (26, 26, 'Arabelle', 5745, '443 Prairie Rose Place');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (27, 27, 'Gwendolen', 9382, '4065 Ryan Junction');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (28, 28, 'Hilde', 5011, '11 Fuller Avenue');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (29, 29, 'Ashley', 2206, '54 Memorial Alley');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (30, 30, 'Roze', 6911, '3531 Victoria Parkway');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (31, 31, 'Heloise', 3153, '9475 Dahle Plaza');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (32, 32, 'Ambur', 4312, '466 Esch Road');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (33, 33, 'Olly', 1762, '89 Hermina Court');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (34, 34, 'Salomi', 4132, '7 Straubel Place');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (35, 35, 'Bertina', 6374, '6882 Cambridge Road');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (36, 36, 'Ginnifer', 542, '55 Moose Point');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (37, 37, 'Hortensia', 5960, '421 Kenwood Avenue');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (38, 38, 'Keven', 1566, '32163 Gateway Street');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (39, 39, 'Leupold', 4329, '1736 Hooker Park');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (40, 40, 'Denyse', 4000, '8467 Bashford Center');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (41, 41, 'Maureene', 4765, '1 School Pass');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (42, 42, 'Lida', 3561, '413 Harbort Plaza');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (43, 43, 'Maryrose', 2718, '45 Manitowish Drive');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (44, 44, 'Gayleen', 9906, '494 Kipling Place');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (45, 45, 'Darbie', 4790, '5990 Sloan Street');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (46, 46, 'Major', 1906, '1236 Burrows Avenue');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (47, 47, 'Jamesy', 8771, '403 Blue Bill Park Street');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (48, 48, 'Damaris', 702, '062 Beilfuss Crossing');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (49, 49, 'Philipa', 4676, '4940 Green Ridge Terrace');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (50, 50, 'Jori', 2942, '272 Dahle Center');
